Player,stats_standard_Nation,stats_standard_Squad,stats_standard_Position,stats_standard_Current age,stats_standard_Matches Played,stats_standard_Minutes,stats_standard_Goals,stats_standard_Assists,stats_standard_Yellow Cards,stats_standard_Red Cards,stats_standard_xG: Expected Goals,stats_standard_xAG: Exp. Assisted Goals,stats_standard_Progressive Carries,stats_standard_Progressive Passes,stats_standard_Progressive Passes Rec,stats_standard_Goals/90,stats_standard_Assists/90,stats_standard_xG/90,stats_standard_xAG/90,stats_shooting_Shots on Target %,stats_shooting_Shots on target/90,stats_shooting_Goals/Shot,stats_shooting_Average Shot Distance,stats_passing_Passes Completed,stats_passing_Pass Completion %,stats_passing_Total Passing Distance,stats_passing_Passes Completed (Short),stats_passing_Pass Completion % (Medium),stats_passing_Pass Completion % (Long),stats_passing_Key Passes,stats_passing_Passes into Final Third,stats_passing_Passes into Penalty Area,stats_passing_Crosses into Penalty Area,stats_passing_Progressive Passes,stats_gca_Shot-Creating Actions,stats_gca_Shot-Creating Actions/90,stats_gca_Goal-Creating Actions,stats_gca_Goal-Creating Actions/90,stats_defense_Tackles,stats_defense_Tackles Won,stats_defense_Dribbles Challenged,stats_defense_Challenges Lost,stats_defense_Blocks,stats_defense_Shots Blocked,stats_defense_Passes Blocked,stats_defense_Interceptions,stats_possession_Touches,stats_possession_Touches (Def Pen),stats_possession_Touches (Def 3rd),stats_possession_Touches (Mid 3rd),stats_possession_Touches (Att 3rd),stats_possession_Touches (Att Pen),stats_possession_Take-Ons Attempted,stats_possession_Successful Take-On %,stats_possession_Tackled During Take-On Percentage,stats_possession_Carries,stats_possession_Progressive Carrying Distance,stats_possession_Progressive Carries,stats_possession_Carries into Final Third,stats_possession_Carries into Penalty Area,stats_possession_Miscontrols,stats_possession_Dispossessed,stats_possession_Passes Received,stats_possession_Progressive Passes Rec,stats_misc_Yellow Cards,stats_misc_Red Cards,stats_misc_Fouls Committed,stats_misc_Fouls Drawn,stats_misc_Offsides,stats_misc_Crosses,stats_misc_Ball Recoveries,stats_misc_Aerials Won,stats_misc_Aerials Lost,stats_misc_% of Aerials Won,stats_keeper_Goals Against/90,stats_keeper_Save Percentage,stats_keeper_Clean Sheet Percentage,stats_keeper_Save% (Penalty Kicks)
Virgil van Dijk,nlNED,Liverpool,DF,33-304,35,3150,3,1,4,0,2.2,0.7,18,180,6,0.09,0.03,0.06,0.02,29.6,0.23,0.11,13.1,2543,91.6,46352,1042,95.5,67.2,12,269,6,0,180,47,1.34,4,0.11,35,17,20,9,25,14,11,54,3125,425,1257,1719,159,48,5,60,40,1746,4531,18,22,3,9,5,2153,6,4,0,16,12,0,1,110,111,46,70.7,N/a,N/a,N/a,N/a
Vitaliy Mykolenko,uaUKR,Everton,DF,25-344,32,2812,0,1,3,0,0.4,1.6,31,105,90,0,0.03,0.01,0.05,0,0,0,20.5,908,74.4,15184,467,74.2,44.7,20,96,37,22,105,38,1.22,3,0.1,55,33,51,25,24,9,15,37,1541,115,480,656,416,30,20,40,45,636,1432,31,27,1,21,10,783,90,3,0,20,28,3,91,79,46,36,56.1,N/a,N/a,N/a,N/a
Vitaly Janelt,deGER,Brentford,MF,26-363,32,2254,1,3,3,0,0.8,2.2,17,80,38,0.04,0.12,0.03,0.09,28.6,0.16,0.07,17.7,872,82.5,14466,443,85.4,55.9,14,78,23,7,80,32,1.28,3,0.12,38,22,36,15,33,9,24,27,1289,118,418,574,306,32,12,25,58.3,652,1278,17,18,3,16,10,814,38,3,0,24,15,1,30,107,19,11,63.3,N/a,N/a,N/a,N/a
Vladimír Coufal,czCZE,West Ham,DF,32-259,19,876,0,0,4,0,0.2,0.6,15,33,25,0,0,0.02,0.06,25,0.1,0,16.7,370,77.6,6056,188,80.1,41.9,6,35,12,7,33,13,1.34,1,0.1,17,11,18,11,13,11,2,8,589,56,226,248,118,10,7,28.6,28.6,232,633,15,5,2,10,6,318,25,4,0,20,14,0,21,29,18,12,60,N/a,N/a,N/a,N/a
Wataru Endo,jpJPN,Liverpool,MF,32-088,18,237,0,0,0,0,0,0.1,0,14,5,0,0,0,0.02,N/a,0,N/a,N/a,148,93.1,2295,76,95.1,100,2,14,1,0,14,6,2.26,0,0,11,8,10,4,7,1,6,3,196,7,49,110,38,3,2,100,0,88,84,0,0,1,6,3,138,5,0,0,14,6,0,0,12,2,3,40,N/a,N/a,N/a,N/a
Welington,brBRA,Southampton,"DF,MF",24-078,7,215,0,0,1,0,0,0,3,6,10,0,0,0.02,0.01,0,0,0,31.3,69,77.5,1098,29,78,75,2,5,5,4,6,6,2.51,1,0.42,13,5,12,5,3,1,2,3,131,11,46,48,40,2,4,75,0,47,116,3,3,1,6,0,55,10,1,0,3,5,0,10,10,0,2,0,N/a,N/a,N/a,N/a
Wes Burns,wlsWAL,Ipswich Town,"FW,DF",30-166,18,926,0,1,1,0,0.5,1.6,38,8,65,0,0.1,0.05,0.16,14.3,0.1,0,18.3,153,60.5,2416,82,65.4,38.9,10,8,8,7,8,16,1.55,1,0.1,13,11,10,6,7,2,5,10,350,21,69,129,160,18,24,37.5,58.3,216,696,38,13,10,17,13,220,65,1,0,4,11,0,46,50,8,21,27.6,N/a,N/a,N/a,N/a
Wesley Fofana,frFRA,Chelsea,DF,24-142,14,1172,0,0,7,0,0.4,0.4,19,32,4,0,0,0.03,0.03,0,0,0,10.6,724,90.2,12262,306,92.5,61.9,6,54,1,0,32,15,1.15,0,0,13,12,14,8,14,9,5,14,933,81,370,523,55,10,15,53.3,20,557,1614,19,12,1,16,5,665,4,7,0,24,16,0,1,54,27,12,69.2,N/a,N/a,N/a,N/a
Wilfred Ndidi,ngNGA,Leicester City,MF,28-143,26,2147,0,4,8,0,2,1.8,17,65,75,0,0.17,0.09,0.08,36.4,0.34,0,13.9,775,80.3,11104,423,82.1,54.5,15,62,10,3,65,27,1.13,3,0.13,81,50,54,27,47,19,28,26,1298,113,430,634,246,60,32,40.6,53.1,628,1029,17,23,2,34,33,772,75,8,0,39,17,3,30,121,55,55,50,N/a,N/a,N/a,N/a
Will Hughes,engENG,Crystal Palace,MF,30-021,30,1899,0,3,11,0,1,2.7,19,83,24,0,0.14,0.05,0.13,5,0.05,0,22.5,672,75.8,10702,342,82.5,35.8,29,69,14,3,83,61,2.89,6,0.28,61,33,59,32,30,14,16,19,1096,42,259,562,287,15,14,28.6,42.9,478,1132,19,22,1,20,24,606,24,11,0,60,30,0,68,110,17,17,50,N/a,N/a,N/a,N/a
