Player,stats_standard_Nation,stats_standard_Squad,stats_standard_Position,stats_standard_Current age,stats_standard_Matches Played,stats_standard_Minutes,stats_standard_Goals,stats_standard_Assists,stats_standard_Yellow Cards,stats_standard_Red Cards,stats_standard_xG: Expected Goals,stats_standard_xAG: Exp. Assisted Goals,stats_standard_Progressive Carries,stats_standard_Progressive Passes,stats_standard_Progressive Passes Rec,stats_standard_Goals/90,stats_standard_Assists/90,stats_standard_xG/90,stats_standard_xAG/90,stats_shooting_Shots on Target %,stats_shooting_Shots on target/90,stats_shooting_Goals/Shot,stats_shooting_Average Shot Distance,stats_passing_Passes Completed,stats_passing_Pass Completion %,stats_passing_Total Passing Distance,stats_passing_Passes Completed (Short),stats_passing_Pass Completion % (Medium),stats_passing_Pass Completion % (Long),stats_passing_Key Passes,stats_passing_Passes into Final Third,stats_passing_Passes into Penalty Area,stats_passing_Crosses into Penalty Area,stats_passing_Progressive Passes,stats_gca_Shot-Creating Actions,stats_gca_Shot-Creating Actions/90,stats_gca_Goal-Creating Actions,stats_gca_Goal-Creating Actions/90,stats_defense_Tackles,stats_defense_Tackles Won,stats_defense_Dribbles Challenged,stats_defense_Challenges Lost,stats_defense_Blocks,stats_defense_Shots Blocked,stats_defense_Passes Blocked,stats_defense_Interceptions,stats_possession_Touches,stats_possession_Touches (Def Pen),stats_possession_Touches (Def 3rd),stats_possession_Touches (Mid 3rd),stats_possession_Touches (Att 3rd),stats_possession_Touches (Att Pen),stats_possession_Take-Ons Attempted,stats_possession_Successful Take-On %,stats_possession_Tackled During Take-On Percentage,stats_possession_Carries,stats_possession_Progressive Carrying Distance,stats_possession_Progressive Carries,stats_possession_Carries into Final Third,stats_possession_Carries into Penalty Area,stats_possession_Miscontrols,stats_possession_Dispossessed,stats_possession_Passes Received,stats_possession_Progressive Passes Rec,stats_misc_Yellow Cards,stats_misc_Red Cards,stats_misc_Fouls Committed,stats_misc_Fouls Drawn,stats_misc_Offsides,stats_misc_Crosses,stats_misc_Ball Recoveries,stats_misc_Aerials Won,stats_misc_Aerials Lost,stats_misc_% of Aerials Won,stats_keeper_Goals Against/90,stats_keeper_Save Percentage,stats_keeper_Clean Sheet Percentage,stats_keeper_Save% (Penalty Kicks)
Boubacar Kamara,frFRA,Aston Villa,MF,25-166,23,1463,0,0,2,0,0.4,0.9,16,74,7,0,0,0.02,0.05,14.3,0.06,0,21.1,738,89.2,11638,381,91.8,54.4,10,82,8,0,74,24,1.48,2,0.12,49,20,54,26,17,7,10,17,991,92,308,572,118,8,24,33.3,33.3,517,1121,16,11,1,10,15,673,7,2,0,25,28,0,1,73,17,23,42.5,N/a,N/a,N/a,N/a
Boubakary Soumaré,frFRA,Leicester City,MF,26-070,28,1960,0,0,8,0,0.3,0.4,31,95,21,0,0,0.01,0.02,0,0,0,23.4,985,86.7,14936,537,87.6,69.1,11,90,13,2,95,34,1.56,3,0.14,33,18,30,12,20,8,12,24,1324,64,352,835,150,17,44,61.4,29.5,788,1881,31,16,3,20,21,929,21,8,0,21,21,0,8,130,20,9,69,N/a,N/a,N/a,N/a
Brajan Gruda,deGER,Brighton,"FW,MF",20-342,18,508,0,3,0,0,0.4,1.5,16,17,47,0,0.53,0.07,0.27,50,0.35,0,16.8,139,73.5,1879,90,71.1,40.9,15,7,10,1,17,27,4.77,4,0.71,14,6,14,7,8,0,8,2,262,4,33,89,144,33,23,39.1,43.5,152,491,16,17,10,9,20,170,47,0,0,6,9,1,18,19,3,4,42.9,N/a,N/a,N/a,N/a
Brennan Johnson,wlsWAL,Tottenham,FW,23-350,31,2083,11,3,5,0,9.8,2.3,57,70,194,0.48,0.13,0.43,0.1,37.7,0.86,0.21,11.4,438,71,5790,268,75.7,34.4,19,25,35,6,70,46,1.99,7,0.3,39,26,31,15,25,3,22,4,825,16,89,282,466,120,44,43.2,50,527,1410,57,21,32,25,16,609,194,5,0,26,25,12,52,60,7,20,25.9,N/a,N/a,N/a,N/a
Bruno Fernandes,ptPOR,Manchester Utd,MF,30-242,33,2758,8,9,4,2,9.5,7.6,65,281,118,0.26,0.29,0.31,0.25,30.1,0.82,0.06,21.9,1522,75.2,26743,732,80.4,52.6,84,176,73,11,281,169,5.51,12,0.39,76,47,75,46,32,4,28,25,2394,59,398,1130,888,71,65,41.5,49.2,1379,3436,65,60,11,38,37,1665,118,4,2,26,37,2,172,192,21,28,42.9,N/a,N/a,N/a,N/a
Bruno Guimarães,brBRA,Newcastle Utd,MF,27-173,35,3002,4,6,6,0,3.9,5.8,54,247,81,0.12,0.18,0.12,0.17,25.6,0.3,0.1,16.3,1334,82.1,22040,656,87.5,56.8,47,162,70,6,247,121,3.63,17,0.51,75,43,64,33,34,9,25,27,2013,75,409,1035,592,74,75,45.3,32,1298,3108,54,40,12,53,73,1507,81,6,0,57,100,2,25,167,18,17,51.4,N/a,N/a,N/a,N/a
Bryan Mbeumo,cmCMR,Brentford,FW,25-274,35,3144,18,6,3,0,10.8,8,118,128,319,0.52,0.17,0.31,0.23,42.3,0.86,0.18,17.7,809,66.6,12856,445,72.1,37,66,55,55,16,128,134,3.84,18,0.52,45,29,31,13,24,3,21,14,1633,54,232,517,913,149,99,46.5,41.4,984,3237,118,64,68,99,40,1109,319,3,0,23,43,11,182,143,34,69,33,N/a,N/a,N/a,N/a
Bukayo Saka,engENG,Arsenal,"FW,MF",23-245,22,1539,6,10,3,0,6.3,6.8,82,62,233,0.35,0.58,0.37,0.4,34.5,1.17,0.09,15.5,488,75.2,7524,290,73.1,47.7,50,13,32,10,62,102,5.97,22,1.29,24,13,22,11,21,0,21,3,875,6,52,192,639,146,84,44,41.7,558,2133,82,28,45,29,38,635,233,3,0,14,38,5,110,65,8,19,29.6,N/a,N/a,N/a,N/a
Caleb Okoli,itITA,Leicester City,DF,23-299,18,1124,1,0,4,0,0.6,0,3,32,2,0.08,0,0.05,0,50,0.16,0.25,13.5,558,86.4,9738,242,91,55.4,0,21,1,0,32,4,0.32,0,0,25,14,18,7,24,14,10,15,804,152,450,324,35,10,0,N/a,N/a,467,1106,3,6,0,10,2,483,2,4,0,16,9,0,1,44,23,21,52.3,N/a,N/a,N/a,N/a
Callum Hudson-Odoi,engENG,Nott'ham Forest,"FW,MF",24-182,29,2152,5,2,2,0,2.5,2.7,127,66,186,0.21,0.08,0.1,0.11,45.9,0.71,0.14,18.3,674,82.2,9918,396,81.8,51.2,44,36,31,11,66,94,3.93,11,0.46,20,14,17,6,11,0,11,13,1005,15,111,324,595,72,62,58.1,29,626,3335,127,61,45,44,23,764,186,2,0,12,22,8,75,91,3,10,23.1,N/a,N/a,N/a,N/a
Callum Wilson,engENG,Newcastle Utd,FW,33-070,15,285,0,0,1,0,0.4,0.1,5,3,12,0,0,0.12,0.02,16.7,0.32,0,15.4,28,70,394,14,80,N/a,1,1,0,0,3,6,1.89,0,0,2,2,2,2,2,0,2,1,76,1,5,45,29,16,6,16.7,50,38,93,5,4,5,11,8,45,12,1,0,3,1,3,2,10,2,14,12.5,N/a,N/a,N/a,N/a
Calvin Bassey,ngNGA,Fulham,DF,25-128,33,2894,1,0,7,0,1,0.1,36,107,15,0.03,0,0.03,0,28.6,0.12,0.07,15.3,1822,89.8,32168,770,94,61.5,3,143,2,0,107,23,0.72,3,0.09,52,33,30,9,37,17,20,18,2317,308,1127,1090,124,19,31,45.2,32.3,1487,4539,36,18,5,32,8,1620,15,7,0,26,31,2,7,156,40,31,56.3,N/a,N/a,N/a,N/a
Cameron Archer,engENG,Southampton,FW,23-291,32,1373,2,0,0,0,5.1,0.4,19,14,64,0.13,0,0.33,0.02,33.3,0.59,0.07,13.1,189,81.1,2474,119,91.4,55.6,3,6,7,0,14,17,1.12,0,0,11,7,9,7,5,1,4,2,362,16,59,161,145,50,32,43.8,53.1,210,499,19,9,14,34,25,256,64,0,0,16,12,7,3,34,8,28,22.2,N/a,N/a,N/a,N/a
Cameron Burgess,auAUS,Ipswich Town,DF,29-199,17,1451,0,2,0,0,0.7,0.5,2,41,4,0,0.12,0.04,0.03,11.1,0.06,0,9.7,590,80.9,10830,240,87,50.8,7,45,4,0,41,13,0.81,3,0.19,15,10,9,2,18,13,5,14,919,221,562,312,47,23,0,N/a,N/a,416,990,2,4,0,3,0,539,4,0,0,5,4,1,0,40,43,22,66.2,N/a,N/a,N/a,N/a
Caoimhín Kelleher,ieIRL,Liverpool,GK,26-166,10,900,0,0,0,0,0,0,0,0,0,0,0,0,0,N/a,0,N/a,N/a,289,75.7,6252,99,100,31.9,0,6,0,0,0,3,0.3,1,0.1,0,0,0,0,0,0,0,0,398,286,396,2,0,0,1,100,0,290,616,0,0,0,1,0,275,0,0,0,0,3,0,0,18,1,0,100,1.2,67.6,40,100
Carlos Alcaraz,arARG,Everton,"FW,MF",22-159,12,580,1,2,4,0,1.3,1.5,15,37,17,0.16,0.31,0.21,0.23,100,9,0,9.7,13,100,221,7,100,100,1,4,1,1,6,1,9,0,0,0,0,0,0,0,0,0,1,17,0,1,8,9,2,2,0,100,12,98,4,1,0,0,0,12,1,0,0,1,0,0,1,2,1,0,100,N/a,N/a,N/a,N/a
Carlos Baleba,cmCMR,Brighton,MF,21-125,31,2403,3,1,8,1,3,1.3,40,111,27,0.11,0.04,0.11,0.05,26.8,0.41,0.07,25.3,1048,87.2,17638,499,91.7,62.3,20,103,22,2,111,60,2.25,4,0.15,71,41,72,28,44,10,34,40,1556,88,375,917,303,12,52,59.6,34.6,886,2588,40,40,3,37,37,944,27,8,1,38,44,0,8,176,38,24,61.3,N/a,N/a,N/a,N/a
Carlos Forbs,ptPOR,Wolves,"MF,FW",21-050,10,239,0,0,2,0,0.1,0,10,8,28,0,0,0.05,0.01,0,0,0,19.1,60,65.9,788,39,73.1,20,1,2,3,1,8,5,1.89,1,0.38,8,5,6,2,3,0,3,1,121,3,23,39,60,13,12,58.3,41.7,75,321,10,3,8,7,4,85,28,2,0,2,1,0,9,11,1,3,25,N/a,N/a,N/a,N/a
Carlos Soler,esESP,West Ham,"MF,FW",28-126,29,1358,1,1,5,0,1.7,1.2,16,52,33,0.07,0.07,0.11,0.08,29.2,0.46,0.04,19.1,536,85.1,8360,288,85.6,53.7,14,41,11,0,52,47,3.12,2,0.13,15,11,23,16,19,6,13,8,748,26,173,391,189,23,18,44.4,50,341,714,16,16,4,12,14,506,33,5,0,24,18,0,31,64,9,11,45,N/a,N/a,N/a,N/a
Casemiro,brBRA,Manchester Utd,MF,33-074,22,1335,1,0,3,0,1.7,2.3,4,70,26,0.07,0,0.11,0.15,28.6,0.54,0.04,18.8,670,78.5,11089,318,83.7,59.8,20,68,20,6,70,49,3.31,3,0.2,77,46,66,25,33,10,23,12,1091,69,327,555,217,38,6,50,50,575,823,4,10,0,10,10,697,26,3,0,17,18,3,19,89,31,17,64.6,N/a,N/a,N/a,N/a
Charlie Taylor,engENG,Southampton,DF,31-232,7,266,0,0,1,0,0,0.1,3,8,6,0,0,0,0.03,N/a,0,N/a,N/a,154,87,2691,63,89.5,70.6,1,8,2,1,8,2,0.68,1,0.34,7,5,6,1,5,3,2,3,219,21,93,91,36,1,2,100,0,91,155,3,3,0,1,1,133,6,1,0,2,2,0,9,7,4,2,66.7,N/a,N/a,N/a,N/a
Cheick Doucouré,mlMLI,Crystal Palace,MF,25-120,13,452,0,0,1,0,0.4,0,2,19,7,0,0,0.08,0,0,0,0,20.6,174,85.3,2909,84,89.7,80,1,17,3,0,19,9,1.79,3,0.6,16,8,11,6,4,0,4,11,263,11,56,165,45,4,5,40,40,133,280,2,7,1,4,7,160,7,1,0,7,7,0,1,31,5,5,50,N/a,N/a,N/a,N/a
Chidozie Obi-Martin,dkDEN,Manchester Utd,FW,17-160,6,155,0,0,1,0,0.6,0,2,1,12,0,0,0.35,0,25,0.58,0,10.8,19,82.6,247,9,77.8,50,0,1,0,0,1,2,1.16,0,0,2,1,2,0,0,0,0,0,44,3,6,19,19,8,3,33.3,66.7,22,50,2,0,1,5,1,29,12,1,0,3,1,0,0,9,1,4,20,N/a,N/a,N/a,N/a
Chiedozie Ogbene,ieIRL,Ipswich Town,FW,28-007,5,238,0,0,0,0,0,0.1,7,0,15,0,0,0,0.03,N/a,0,N/a,N/a,32,74.4,415,20,80,100,2,0,0,0,0,3,1.13,0,0,7,3,4,2,1,0,1,1,70,3,11,19,40,6,7,14.3,42.9,41,139,7,2,2,4,2,43,15,0,0,2,7,1,4,6,1,6,14.3,N/a,N/a,N/a,N/a
Chris Richards,usUSA,Crystal Palace,DF,25-041,21,1652,1,0,4,1,1.3,0.1,5,35,1,0.05,0,0.07,0.01,45.5,0.27,0.09,11.4,609,80.2,10779,250,89.6,44.9,2,22,1,1,35,7,0.38,2,0.11,44,28,38,15,36,13,23,15,985,113,527,397,67,18,6,16.7,83.3,453,916,5,5,0,5,5,547,1,4,1,11,4,1,3,49,38,38,50,N/a,N/a,N/a,N/a
Chris Wood,nzNZL,Nott'ham Forest,FW,33-152,33,2689,19,3,1,0,11.7,2.5,13,36,87,0.64,0.1,0.39,0.08,54.5,1,0.29,14.1,290,65.9,4048,176,67.2,72.7,19,16,9,1,36,40,1.34,5,0.17,5,4,9,7,11,7,4,5,698,36,84,334,282,89,12,33.3,58.3,339,444,13,10,5,73,24,512,87,1,0,24,21,26,1,44,88,129,40.6,N/a,N/a,N/a,N/a
Christian Eriksen,dkDEN,Manchester Utd,MF,33-083,21,1028,0,2,4,0,0.4,2.9,12,53,29,0,0.18,0.03,0.25,9.1,0.09,0,24.9,569,79.1,9538,305,80.7,47.6,27,53,11,4,53,51,4.46,7,0.61,19,9,26,15,14,4,10,7,811,24,163,388,264,15,3,0,100,450,761,12,13,1,11,5,541,29,4,0,8,3,0,78,59,2,6,25,N/a,N/a,N/a,N/a
Christian Nørgaard,dkDEN,Brentford,MF,31-059,31,2549,5,3,6,1,3.9,1,12,133,37,0.18,0.11,0.14,0.04,34.3,0.42,0.14,14.3,1049,81.3,17392,523,85.1,58.6,17,128,24,4,133,49,1.73,10,0.35,75,45,71,27,51,19,32,45,1638,161,561,780,312,52,13,46.2,38.5,738,1204,12,12,4,31,18,974,37,6,1,41,28,1,15,179,44,29,60.3,N/a,N/a,N/a,N/a
Christian Walton,engENG,Ipswich Town,GK,29-180,6,540,0,0,0,0,0,0,0,0,0,0,0,0,0,N/a,0,N/a,N/a,152,67.3,4170,41,97.2,36.8,1,1,0,0,0,2,0.33,0,0,0,0,1,1,0,0,0,0,242,224,241,1,0,0,0,N/a,N/a,122,305,0,0,0,0,0,117,0,0,0,0,1,0,0,5,2,0,100,2.67,57.6,16.7,0
Christopher Nkunku,frFRA,Chelsea,FW,27-175,27,921,3,2,2,0,4.8,2.1,17,25,68,0.29,0.2,0.47,0.21,44,1.07,0.12,12.6,299,89.5,3928,185,92.2,100,14,26,7,0,25,34,3.32,4,0.39,12,8,8,2,9,2,7,7,448,10,52,183,217,52,27,37,51.9,280,628,17,16,13,18,17,356,68,2,0,16,11,3,4,29,16,22,42.1,N/a,N/a,N/a,N/a
Cody Gakpo,nlNED,Liverpool,FW,26-001,32,1717,9,3,5,0,6.5,3.5,51,52,253,0.47,0.16,0.34,0.18,41.2,1.1,0.18,15.2,439,75.8,6279,271,66.5,54.8,33,22,27,8,52,71,3.72,7,0.37,26,14,23,12,19,2,17,11,795,21,75,230,506,90,51,56.9,29.4,540,1974,51,32,20,38,20,606,253,5,0,17,25,5,68,66,15,24,38.5,N/a,N/a,N/a,N/a
Cole Palmer,engENG,Chelsea,MF,23-002,34,2921,15,8,6,0,17,10,110,200,169,0.46,0.25,0.52,0.31,35.7,1.26,0.1,20.2,1044,76.9,19884,434,84.8,59.9,82,153,61,17,200,190,5.86,15,0.46,27,17,23,14,14,1,13,11,1694,20,140,759,817,133,107,46.7,38.3,1074,3497,110,67,39,63,34,1248,169,6,0,13,57,6,134,100,1,7,12.5,N/a,N/a,N/a,N/a
Conor Bradley,nirNIR,Liverpool,DF,21-303,16,567,0,1,3,0,0.6,0.5,28,26,31,0,0.16,0.09,0.07,33.3,0.48,0,14.3,377,84,5606,220,88,35.5,5,20,3,1,26,16,2.54,2,0.32,11,8,17,9,4,0,4,3,533,18,147,247,149,36,19,47.4,47.4,297,1091,28,19,8,8,2,335,31,3,0,9,10,0,6,36,7,7,50,N/a,N/a,N/a,N/a
Conor Chaplin,engENG,Ipswich Town,"MF,FW",28-081,19,712,1,1,2,0,1.2,0.7,11,26,20,0.13,0.13,0.15,0.09,25,0.38,0.08,18.3,186,72.7,2998,89,79.2,40,8,20,7,2,26,21,2.66,1,0.13,12,5,13,7,8,1,7,3,314,7,57,158,104,12,7,57.1,42.9,148,403,11,7,0,11,3,215,20,2,0,11,6,0,9,25,2,9,18.2,N/a,N/a,N/a,N/a
Conor Coady,engENG,Leicester City,DF,32-072,19,1444,0,0,2,0,0.1,0.1,3,30,0,0,0,0.01,0,100,0.06,0,9.2,829,90.9,14352,353,96.6,52.7,1,32,2,0,30,5,0.31,0,0,12,8,6,3,27,20,7,13,1036,199,569,450,18,6,2,50,50,676,1556,3,3,1,4,2,762,0,2,0,7,2,1,0,50,13,19,40.6,N/a,N/a,N/a,N/a
Conor Townsend,engENG,Ipswich Town,DF,32-065,6,335,0,1,1,0,0,0.7,2,8,13,0,0.27,0.01,0.18,0,0,0,16.7,80,63,1418,32,74.5,29.2,4,7,2,2,8,5,1.34,1,0.27,11,8,11,3,8,6,2,4,172,28,87,50,38,5,0,N/a,N/a,53,136,2,2,0,2,2,75,13,1,0,2,4,0,12,8,6,4,60,N/a,N/a,N/a,N/a
Craig Dawson,engENG,Wolves,DF,35-002,15,971,0,0,2,0,0.5,0,6,20,5,0,0,0.05,0,20,0.09,0,8.5,484,86.6,9745,149,93,60,2,22,1,0,20,7,0.65,2,0.19,15,3,15,3,16,11,5,9,671,130,396,249,28,14,5,20,40,390,938,6,1,0,2,0,443,5,2,0,6,5,2,0,35,21,11,65.6,N/a,N/a,N/a,N/a
Cristian Romero,arARG,Tottenham,DF,27-011,18,1416,1,0,3,0,1.6,0.6,12,71,3,0.06,0,0.1,0.04,50,0.51,0.06,9.1,1094,89.5,20402,370,94.7,63.5,7,109,8,1,71,20,1.27,4,0.25,35,29,30,9,18,3,15,21,1377,157,594,720,74,23,4,25,50,896,2893,12,18,0,10,5,936,3,3,0,14,12,2,3,90,41,27,60.3,N/a,N/a,N/a,N/a
Crysencio Summerville,nlNED,West Ham,"FW,MF",23-190,19,786,1,1,2,0,1.6,1.7,29,18,71,0.11,0.11,0.19,0.19,28.6,0.46,0.07,13.4,194,76.4,2881,125,88.7,50,17,13,12,5,18,35,4.01,1,0.11,13,7,9,6,13,4,9,0,372,9,47,147,181,38,39,33.3,46.2,207,762,29,15,13,20,16,259,71,2,0,9,23,4,21,38,4,9,30.8,N/a,N/a,N/a,N/a
Curtis Jones,engENG,Liverpool,"MF,DF",24-098,30,1528,3,3,3,1,4.1,1,24,95,71,0.18,0.18,0.24,0.06,38.7,0.71,0.1,16.9,911,93.3,13290,524,92.7,75,19,70,17,0,95,42,2.47,7,0.41,36,20,25,8,16,7,9,6,1145,32,187,615,349,52,19,57.9,36.8,702,1598,24,17,6,23,32,867,71,3,1,17,24,1,6,86,13,12,52,N/a,N/a,N/a,N/a
Daichi Kamada,jpJPN,Crystal Palace,MF,28-276,31,1424,0,0,4,1,1.1,1.8,24,80,54,0,0,0.07,0.11,20,0.25,0,20.3,541,79.8,8735,286,82.6,58.5,19,42,13,2,80,49,3.1,3,0.19,45,27,38,25,21,5,16,16,851,19,181,447,230,30,15,40,46.7,427,1025,24,19,5,15,18,544,54,4,1,27,19,2,29,72,3,13,18.8,N/a,N/a,N/a,N/a
Dan Burn,engENG,Newcastle Utd,DF,32-364,34,3060,1,0,10,0,1.7,0.9,9,59,10,0.03,0,0.05,0.03,25,0.15,0.05,9.9,1630,88.9,29674,571,94.7,61.3,8,39,7,0,59,21,0.62,3,0.09,34,19,32,15,32,23,9,25,2184,344,1220,861,109,49,4,75,25,1246,2498,9,5,1,23,3,1470,10,10,0,30,11,5,3,95,134,65,67.3,N/a,N/a,N/a,N/a
Dango Ouattara,bfBFA,Bournemouth,FW,23-086,32,2005,7,4,3,0,8.4,5.5,79,43,191,0.31,0.18,0.38,0.25,32.3,0.9,0.11,13.5,367,60,5725,210,62.2,37.3,35,21,26,11,43,72,3.23,6,0.27,35,26,41,24,36,10,26,11,959,62,165,316,497,128,82,47.6,41.5,492,1777,79,35,38,63,32,577,191,3,0,16,19,14,88,92,45,63,41.7,N/a,N/a,N/a,N/a
Daniel Muñoz,coCOL,Crystal Palace,DF,28-347,34,2958,4,4,10,0,4.7,4.5,54,89,191,0.12,0.12,0.14,0.14,39.4,0.4,0.12,12.3,1052,75.6,16013,594,77.1,44,41,53,33,14,89,78,2.37,9,0.27,113,74,89,37,36,4,32,40,1871,111,524,768,598,95,54,38.9,57.4,730,1604,54,35,15,50,18,883,191,10,0,49,19,13,68,155,58,75,43.6,N/a,N/a,N/a,N/a
Danilo,brBRA,Nott'ham Forest,"MF,FW",24-009,7,267,0,0,0,0,0,0,2,11,1,0,0,0,0,N/a,0,N/a,N/a,89,78.1,1435,43,83.7,60,0,13,0,0,11,7,2.37,2,0.68,6,3,4,2,2,1,1,3,140,8,50,78,13,0,6,50,50,49,61,2,0,0,6,0,83,1,0,0,1,0,0,3,18,1,1,50,N/a,N/a,N/a,N/a
Danny Ings,engENG,West Ham,"FW,MF",32-289,15,284,1,2,0,0,2.3,1.3,6,5,29,0.32,0.63,0.72,0.41,35.7,1.58,0.07,15.5,63,68.5,830,41,65.5,20,6,4,1,0,5,12,3.8,2,0.63,4,2,3,2,5,0,5,1,139,2,15,51,73,27,7,57.1,28.6,63,118,6,0,2,6,6,96,29,0,0,0,2,0,3,9,8,10,44.4,N/a,N/a,N/a,N/a
Danny Ward,wlsWAL,Leicester City,GK,31-320,2,135,0,0,0,0,0,0,0,0,0,0,0,0,0,N/a,0,N/a,N/a,41,77.4,1162,6,100,55.6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,40,55,0,0,0,1,0,100,44,107,0,0,0,0,0,35,0,0,0,0,0,0,0,1,0,0,N/a,4,40,0,N/a
Danny Welbeck,engENG,Brighton,FW,34-163,28,1942,9,4,5,0,8.1,1.2,19,42,83,0.42,0.19,0.38,0.06,37.7,0.93,0.17,15.2,368,84.2,4306,245,87,100,19,17,13,0,42,44,2.04,6,0.28,23,14,18,11,17,2,15,5,648,15,50,277,326,90,36,33.3,58.3,395,777,19,20,7,45,25,483,83,5,0,11,22,4,3,40,15,29,34.1,N/a,N/a,N/a,N/a
Dara O'Shea,ieIRL,Ipswich Town,DF,26-065,32,2852,0,2,6,0,1.2,0.5,3,71,8,0,0.06,0.04,0.02,10,0.06,0,13.6,1112,77.7,22113,357,84.8,50,3,83,3,1,71,22,0.69,4,0.13,47,30,31,11,59,47,12,31,1841,361,1065,663,118,48,2,50,50,805,1751,3,2,0,11,4,1048,8,6,0,18,22,3,7,101,103,79,56.6,N/a,N/a,N/a,N/a
Darwin Núñez,uyURU,Liverpool,FW,25-318,27,1051,5,2,8,0,5.3,1.2,22,27,69,0.43,0.17,0.45,0.11,36.4,1.03,0.15,14.3,151,70.6,2248,82,73,66.7,9,9,2,0,27,27,2.31,4,0.34,19,16,16,10,6,0,6,3,340,10,44,113,193,66,21,38.1,57.1,184,529,22,17,12,21,19,228,69,8,0,27,14,11,2,39,17,30,36.2,N/a,N/a,N/a,N/a
David Brooks,wlsWAL,Bournemouth,"FW,MF",27-304,26,832,2,0,3,0,2.2,1.7,25,27,75,0.22,0,0.24,0.18,45.5,1.08,0.09,16.8,245,74.2,3790,139,76.2,51.4,16,15,15,5,27,35,3.79,2,0.22,11,4,14,13,16,2,14,5,451,13,54,164,241,32,31,25.8,64.5,278,812,25,22,8,27,11,306,75,3,0,8,15,0,44,44,7,10,41.2,N/a,N/a,N/a,N/a
David Raya,esESP,Arsenal,GK,29-235,35,3150,0,0,2,0,0,0,0,13,0,0,0,0,0,N/a,0,N/a,N/a,979,74.6,23137,274,98.3,38.2,0,41,2,0,13,4,0.11,1,0.03,0,0,2,2,0,0,0,2,1367,802,1284,83,0,0,1,100,0,856,2563,0,0,0,1,0,789,0,2,0,1,9,0,0,38,10,0,100,0.89,74.1,34.3,0
Dean Henderson,engENG,Crystal Palace,GK,28-057,35,3150,0,0,3,0,0,0.1,0,0,0,0,0,0,0,0,0,0,14.9,682,61.4,18786,163,99.4,31,2,21,1,0,0,3,0.09,0,0,2,1,6,4,0,0,0,0,1200,974,1195,4,1,1,0,N/a,N/a,689,1950,0,0,0,2,0,523,0,3,0,0,1,0,0,25,11,1,91.7,1.37,67.1,28.6,50
Dean Huijsen,esESP,Bournemouth,DF,20-024,29,2234,3,1,8,0,1.9,2,36,116,10,0.12,0.04,0.08,0.08,16.7,0.12,0.17,11.9,1204,83.4,24235,389,91.6,59.3,14,146,7,2,116,40,1.61,3,0.12,33,23,25,10,36,28,8,49,1803,238,820,861,131,30,5,40,60,992,3937,36,26,0,18,1,1117,10,8,0,29,10,2,12,96,64,41,61,N/a,N/a,N/a,N/a
Declan Rice,engENG,Arsenal,MF,26-114,33,2645,3,7,7,1,3.3,6.5,88,180,92,0.1,0.24,0.11,0.22,25,0.37,0.07,19.3,1304,83.5,22238,641,90.5,48.9,56,126,35,5,180,106,3.61,10,0.34,52,24,37,21,24,11,13,25,1839,71,302,863,693,77,28,46.4,50,977,3274,88,54,16,36,29,1204,92,7,1,20,16,2,157,143,31,24,56.4,N/a,N/a,N/a,N/a
Dejan Kulusevski,seSWE,Tottenham,"MF,FW",25-013,31,2371,7,4,3,0,4.2,6.2,120,123,210,0.27,0.15,0.16,0.24,37,0.65,0.15,14.8,656,73.6,9184,393,78,40.5,65,62,52,6,123,127,4.82,9,0.34,45,23,51,32,34,5,29,13,1272,24,149,430,717,157,117,32.5,60.7,821,3206,120,67,40,77,73,894,210,3,0,47,38,5,89,119,10,15,40,N/a,N/a,N/a,N/a
Destiny Udogie,itITA,Tottenham,DF,22-161,24,1834,0,1,2,0,0.3,1.5,54,120,93,0,0.05,0.01,0.07,20,0.05,0,15.1,947,87.4,13710,533,90.4,80,16,88,6,1,120,35,1.72,3,0.15,74,47,47,14,40,6,34,21,1336,60,377,591,383,49,32,40.6,50,735,2290,54,39,12,32,19,796,93,2,0,29,38,2,19,109,13,13,50,N/a,N/a,N/a,N/a
Diego Carlos,brBRA,Aston Villa,DF,32-054,10,830,0,0,1,0,0.6,0,3,34,0,0,0,0.07,0,25,0.11,0,6.7,534,88.6,10941,138,94.2,65.1,0,23,1,0,34,4,0.43,0,0,8,3,6,2,13,7,6,5,674,86,331,330,15,6,2,100,0,419,1162,3,3,0,1,2,481,0,1,0,11,1,1,0,36,11,10,52.4,N/a,N/a,N/a,N/a
Diego Gómez,pyPAR,Brighton,MF,22-042,13,441,0,0,0,0,0.7,0.5,5,20,14,0,0,0.15,0.1,0,0,0,19.4,206,78.9,3195,115,83.1,52.2,5,12,5,1,20,14,2.86,3,0.61,17,10,18,9,11,0,11,7,346,18,79,186,85,6,12,50,50,163,254,5,3,0,6,9,206,14,0,0,7,2,1,9,30,8,4,66.7,N/a,N/a,N/a,N/a
Diogo Dalot,ptPOR,Manchester Utd,DF,26-051,32,2788,0,3,5,0,2,2,62,102,164,0,0.1,0.06,0.07,21.7,0.16,0,15.6,1336,80.5,21497,691,81.9,55.4,26,61,25,8,102,74,2.39,5,0.16,67,39,52,18,22,9,13,37,1965,113,658,767,557,66,53,50.9,41.5,1111,2684,62,37,16,37,21,1186,164,5,0,40,9,4,65,164,38,21,64.4,N/a,N/a,N/a,N/a
