Player,stats_standard_Nation,stats_standard_Squad,stats_standard_Position,stats_standard_Current age,stats_standard_Matches Played,stats_standard_Minutes,stats_standard_Goals,stats_standard_Assists,stats_standard_Yellow Cards,stats_standard_Red Cards,stats_standard_xG: Expected Goals,stats_standard_xAG: Exp. Assisted Goals,stats_standard_Progressive Carries,stats_standard_Progressive Passes,stats_standard_Progressive Passes Rec,stats_standard_Goals/90,stats_standard_Assists/90,stats_standard_xG/90,stats_standard_xAG/90,stats_shooting_Shots on Target %,stats_shooting_Shots on target/90,stats_shooting_Goals/Shot,stats_shooting_Average Shot Distance,stats_passing_Passes Completed,stats_passing_Pass Completion %,stats_passing_Total Passing Distance,stats_passing_Passes Completed (Short),stats_passing_Pass Completion % (Medium),stats_passing_Pass Completion % (Long),stats_passing_Key Passes,stats_passing_Passes into Final Third,stats_passing_Passes into Penalty Area,stats_passing_Crosses into Penalty Area,stats_passing_Progressive Passes,stats_gca_Shot-Creating Actions,stats_gca_Shot-Creating Actions/90,stats_gca_Goal-Creating Actions,stats_gca_Goal-Creating Actions/90,stats_defense_Tackles,stats_defense_Tackles Won,stats_defense_Dribbles Challenged,stats_defense_Challenges Lost,stats_defense_Blocks,stats_defense_Shots Blocked,stats_defense_Passes Blocked,stats_defense_Interceptions,stats_possession_Touches,stats_possession_Touches (Def Pen),stats_possession_Touches (Def 3rd),stats_possession_Touches (Mid 3rd),stats_possession_Touches (Att 3rd),stats_possession_Touches (Att Pen),stats_possession_Take-Ons Attempted,stats_possession_Successful Take-On %,stats_possession_Tackled During Take-On Percentage,stats_possession_Carries,stats_possession_Progressive Carrying Distance,stats_possession_Progressive Carries,stats_possession_Carries into Final Third,stats_possession_Carries into Penalty Area,stats_possession_Miscontrols,stats_possession_Dispossessed,stats_possession_Passes Received,stats_possession_Progressive Passes Rec,stats_misc_Yellow Cards,stats_misc_Red Cards,stats_misc_Fouls Committed,stats_misc_Fouls Drawn,stats_misc_Offsides,stats_misc_Crosses,stats_misc_Ball Recoveries,stats_misc_Aerials Won,stats_misc_Aerials Lost,stats_misc_% of Aerials Won,stats_keeper_Goals Against/90,stats_keeper_Save Percentage,stats_keeper_Clean Sheet Percentage,stats_keeper_Save% (Penalty Kicks),player_name,team,price,skill/pot
aaron ramsdale,engENG,Southampton,GK,26-359,27,2430,0,0,2,0,0,0,0,0,0,0,0,0,0,N/a,0,N/a,N/a,715,64.6,20052,199,96.2,38.6,0,33,1,0,0,3,0.11,0,0,0,0,2,2,0,0,0,2,1189,860,1166,26,0,0,0,N/a,N/a,723,2159,0,0,0,3,0,646,0,2,0,1,4,0,0,20,5,0,100,2.3,67.1,7.4,28.6,aaron ramsdale,Southampton,€18.7M,67.3/71.5
aaron wan-bissaka,engENG,West Ham,DF,27-163,33,2884,2,3,1,0,1.2,3.2,101,132,150,0.06,0.09,0.04,0.1,31.3,0.16,0.13,15.1,1321,80.5,18817,846,81.1,46,30,89,32,11,132,85,2.65,8,0.25,64,45,27,7,32,9,23,60,2039,136,628,877,564,44,108,52.8,34.3,961,3383,101,59,13,31,21,1174,150,1,0,22,25,4,70,163,22,30,42.3,N/a,N/a,N/a,N/a,aaron wan-bissaka,West Ham United,€26.9M,74.4/75.0
abdoulaye doucouré,mlMLI,Everton,MF,32-127,30,2425,3,1,5,1,3.9,2.3,40,78,91,0.11,0.04,0.14,0.09,31,0.33,0.1,13.8,676,79.6,10229,354,83.1,72.7,26,44,14,0,78,54,2,2,0.07,45,27,39,26,30,6,24,9,1090,31,218,502,385,59,43,53.5,46.5,571,1339,40,24,8,33,35,705,91,5,1,46,5,10,23,139,29,43,40.3,N/a,N/a,N/a,N/a,abdoulaye doucouré,Everton,€5.8M,69.1/69.1
adam smith,engENG,Bournemouth,DF,34-009,22,1409,0,0,6,0,0.7,0.3,12,40,31,0,0,0.04,0.02,0,0,0,16.9,436,75.7,7088,213,78.1,37.5,7,41,8,5,40,20,1.28,2,0.13,21,10,25,13,12,5,7,14,707,39,217,332,162,6,15,40,40,305,585,12,15,0,10,6,333,31,6,0,15,11,0,30,43,12,13,48,N/a,N/a,N/a,N/a,adam smith,B'mouth,€1.5M,68.5/68.7
adam wharton,engENG,Crystal Palace,MF,20-340,20,1318,0,2,2,0,0.4,3,14,107,11,0,0.14,0.03,0.21,38.5,0.34,0,25.4,548,75.6,10271,208,80.1,65.4,26,78,18,5,107,59,4.03,6,0.41,34,14,44,27,11,2,9,20,871,30,204,462,212,11,10,20,80,430,1078,14,23,2,17,13,533,11,2,0,12,21,0,39,102,7,16,30.4,N/a,N/a,N/a,N/a,adam wharton,C. Palace,€48.9M,68.1/81.3
adama traoré,esESP,Fulham,"FW,MF",29-103,33,1592,2,6,3,0,3.9,4.7,89,61,145,0.11,0.34,0.22,0.27,29.7,0.62,0.05,14.3,386,72,6023,214,73.4,55.1,38,32,33,18,61,76,4.3,9,0.51,17,12,13,8,7,0,7,1,737,4,75,260,424,88,93,50.5,37.6,490,2268,89,42,33,34,21,556,145,3,0,20,29,1,92,78,24,26,48,N/a,N/a,N/a,N/a,adama traoré,Fulham,€8M,68.7/68.7
alejandro garnacho,arARG,Manchester Utd,"MF,FW",20-311,34,2146,6,2,3,0,7.2,4.5,139,56,281,0.25,0.08,0.3,0.19,34.9,1.22,0.07,17.2,635,79.1,8921,395,82.9,60,35,21,24,4,56,81,3.4,6,0.25,29,18,36,24,19,0,19,13,1132,13,128,360,662,170,87,29.9,60.9,819,3176,139,72,66,63,48,864,281,3,0,12,41,10,52,108,3,23,11.5,N/a,N/a,N/a,N/a,alejandro garnacho,Man Utd,€60.7M,70.9/87.1
alex iwobi,ngNGA,Fulham,"FW,MF",29-005,35,2796,9,6,1,0,4.6,6.9,135,199,224,0.29,0.19,0.15,0.22,44.4,0.9,0.14,18.2,1057,74.4,18132,526,77.7,53.8,56,107,78,17,199,115,3.7,16,0.52,39,23,30,11,25,1,24,13,1724,31,228,691,831,109,87,49.4,44.8,1218,4098,135,102,37,55,38,1345,224,1,0,17,17,5,120,126,6,31,16.2,N/a,N/a,N/a,N/a,alex iwobi,Fulham,€30.3M,76.3/76.3
alex palmer,engENG,Ipswich Town,GK,28-271,11,990,0,0,2,0,0,0,0,1,0,0,0,0,0,N/a,0,N/a,N/a,241,67.7,7340,46,100,43.8,1,7,0,0,1,2,0.18,0,0,0,0,0,0,0,0,0,0,400,334,393,8,0,0,0,N/a,N/a,180,604,0,0,0,1,0,132,0,2,0,1,2,0,0,15,4,0,100,2.45,58.7,0,0,alex palmer,Ipswich Town,€1.6M,64.4/67.5
alexander isak,seSWE,Newcastle Utd,FW,25-229,32,2577,23,6,1,0,19.9,4.3,81,80,200,0.8,0.21,0.69,0.15,42,1.29,0.22,14.6,479,74.5,6849,285,77.4,63.2,41,33,26,1,80,89,3.11,14,0.49,12,5,13,8,18,2,16,3,960,20,55,361,558,178,88,47.7,50,574,1782,81,41,43,62,52,681,200,1,0,25,13,20,15,55,26,52,33.3,N/a,N/a,N/a,N/a,alexander isak,Newcastle Utd.,€120.3M,82.0/84.9
alexis mac allister,arARG,Liverpool,MF,26-135,34,2575,5,5,6,0,2.8,4.6,34,174,79,0.17,0.17,0.1,0.16,34.2,0.45,0.13,18.1,1260,83.5,20147,650,88.4,55.7,44,121,34,2,174,119,4.16,15,0.52,95,58,104,49,61,6,55,22,1845,55,280,956,630,60,42,38.1,50,906,1961,34,42,5,31,22,1217,79,6,0,61,40,2,85,146,19,34,35.8,N/a,N/a,N/a,N/a,alexis mac allister,Liverpool,€106.1M,85.5/88.9
alisson,brBRA,Liverpool,GK,32-218,25,2238,0,0,0,0,0,0.6,0,0,0,0,0,0,0.02,N/a,0,N/a,N/a,681,83.6,14999,205,98.6,48.1,1,11,0,0,0,6,0.24,1,0.04,1,0,1,1,0,0,0,0,860,622,844,16,0,0,1,100,0,550,1284,0,0,0,1,0,525,0,0,0,0,2,0,0,42,6,0,100,0.92,71.4,36,0,alisson,Liverpool,€24.1M,78.0/78.0
amad diallo,ciCIV,Manchester Utd,"FW,MF",22-301,23,1639,7,6,3,0,4.2,4,93,55,163,0.38,0.33,0.23,0.22,32.6,0.77,0.16,18,676,82.9,9329,417,85.3,53.1,40,25,30,5,55,83,4.56,17,0.93,35,28,28,11,11,0,11,11,1042,13,154,381,523,112,77,49.4,45.5,678,2355,93,48,54,36,32,731,163,3,0,19,24,9,38,99,9,15,37.5,N/a,N/a,N/a,N/a,amad diallo,Man Utd,€48.5M,69.4/76.9
amadou onana,beBEL,Aston Villa,MF,23-265,23,1378,3,0,4,0,2.1,0.3,21,60,14,0.2,0,0.14,0.02,35.3,0.39,0.18,14.7,607,88.5,9552,312,89.8,73,8,56,9,1,60,27,1.76,4,0.26,47,24,26,12,14,6,8,24,858,62,233,506,133,21,17,64.7,17.6,468,1293,21,20,1,10,9,579,14,4,0,30,24,0,1,66,27,18,60,N/a,N/a,N/a,N/a,amadou onana,Aston Villa,€62.1M,68.7/76.0
andreas pereira,brBRA,Fulham,MF,29-127,31,1879,2,4,7,0,3.5,4.5,27,99,78,0.1,0.19,0.17,0.21,22.9,0.38,0.06,22.1,641,68.9,11658,296,78.3,41,56,64,19,4,99,101,4.84,8,0.38,22,12,40,30,16,2,14,8,1096,17,156,446,511,39,29,44.8,27.6,556,1266,27,35,8,26,21,648,78,7,0,27,23,1,168,97,12,21,36.4,N/a,N/a,N/a,N/a,andreas pereira,Fulham,€19M,75.7/75.7
andrew robertson,sctSCO,Liverpool,DF,31-058,31,2308,0,0,3,1,1,4.1,58,165,95,0,0,0.04,0.16,15.4,0.08,0,14.5,1456,83,24521,713,86.8,46.8,38,144,28,16,165,75,2.92,3,0.12,38,22,47,17,9,4,5,20,1947,86,500,882,578,50,18,38.9,55.6,1028,2588,58,48,6,25,11,1302,95,3,1,11,8,2,136,91,6,12,33.3,N/a,N/a,N/a,N/a,andrew robertson,Liverpool,€24M,80.2/80.6
andré,brBRA,Wolves,MF,23-296,30,2249,0,0,7,0,0.4,0.7,8,95,11,0,0,0.02,0.03,11.1,0.04,0,25.3,1111,92.8,17503,568,95.4,80,15,101,4,0,95,45,1.8,3,0.12,80,48,57,25,41,8,33,32,1451,83,395,939,132,3,27,48.1,37,795,1440,8,14,0,27,17,973,11,7,0,34,32,0,0,176,2,6,25,N/a,N/a,N/a,N/a,andré,Wolverhampton,€29.8M,71.5/79.3
andré onana,cmCMR,Manchester Utd,GK,29-036,33,2970,0,0,0,0,0,0.2,0,1,0,0,0,0,0.01,N/a,0,N/a,N/a,920,73.1,21868,218,99,36.3,1,24,0,0,1,4,0.12,0,0,1,1,3,2,0,0,0,0,1323,1005,1302,22,0,0,0,N/a,N/a,932,2615,0,0,0,1,0,810,0,0,0,0,2,0,0,33,6,0,100,1.3,69,27.3,25,andré onana,Man Utd,€34.2M,73.5/76.9
anthony elanga,seSWE,Nott'ham Forest,"FW,MF",23-011,35,2232,6,9,1,0,4.2,4.8,87,54,190,0.24,0.36,0.17,0.19,52.5,0.85,0.15,17.3,479,65.2,6909,289,64.1,33,44,29,24,7,54,89,3.59,14,0.57,18,13,17,12,11,1,10,6,1000,29,133,290,594,98,76,30.3,46.1,527,2268,87,42,42,70,39,672,190,1,0,8,36,15,156,84,24,34,41.4,N/a,N/a,N/a,N/a,anthony elanga,Nottingham,€45.5M,75.0/82.6
anthony gordon,engENG,Newcastle Utd,FW,24-073,31,2235,6,5,2,0,8,4.9,111,93,197,0.24,0.2,0.32,0.2,28.6,0.64,0.09,16.8,671,73.3,10367,373,78.2,43.2,50,61,52,17,93,99,3.99,12,0.48,31,17,34,22,24,2,22,6,1178,16,115,444,638,123,96,36.5,46.9,758,3042,111,56,55,28,35,851,197,2,0,19,65,8,122,92,6,7,46.2,N/a,N/a,N/a,N/a,anthony gordon,Newcastle Utd.,€49.5M,80.7/86.9
antoine semenyo,ghGHA,Bournemouth,FW,25-121,34,2933,9,5,9,0,9.3,5.8,133,106,259,0.28,0.15,0.29,0.18,31.4,1.14,0.08,17.2,737,73.2,10554,442,76.5,38.6,45,48,44,8,106,123,3.77,13,0.4,53,34,42,26,59,8,51,10,1503,44,187,526,824,176,125,51.2,41.6,904,3409,133,65,65,79,72,1041,259,9,0,66,36,14,52,150,61,72,45.9,N/a,N/a,N/a,N/a,antoine semenyo,B'mouth,€47.7M,74.1/79.3
antonee robinson,usUSA,Fulham,DF,27-273,34,2989,0,10,8,0,0.7,4.1,114,123,265,0,0.3,0.02,0.12,12.5,0.06,0,22.1,1523,76.6,26058,732,79,56.4,42,113,54,28,123,77,2.32,11,0.33,90,57,89,45,37,7,30,57,2404,128,765,911,763,67,78,43.6,42.3,1278,4057,114,60,29,41,18,1440,265,8,0,31,17,6,165,148,45,25,64.3,N/a,N/a,N/a,N/a,antonee robinson,Fulham,€46.4M,77.9/78.7
archie gray,engENG,Tottenham,"DF,MF",19-057,25,1481,0,0,0,0,0,0.1,6,34,15,0,0,0,0.01,100,0.06,0,24.6,939,88.2,16414,360,92.7,59.1,2,39,0,0,34,5,0.3,0,0,13,7,17,10,19,10,9,13,1179,139,564,537,88,2,11,54.5,36.4,816,1551,6,5,0,9,10,881,15,0,0,9,11,0,13,59,10,9,52.6,N/a,N/a,N/a,N/a,archie gray,Tottenham,€58.2M,71.0/89.0
ashley young,engENG,Everton,"DF,FW",39-303,29,1622,1,3,6,1,0.3,1.6,20,83,27,0.06,0.17,0.01,0.09,50,0.17,0.17,24.5,610,69.9,11228,292,76,40.3,19,72,18,9,83,38,2.11,6,0.33,51,29,51,19,10,3,7,23,1043,52,316,452,280,9,15,33.3,46.7,415,1214,20,24,1,8,1,535,27,6,1,25,18,0,66,61,10,11,47.6,N/a,N/a,N/a,N/a,ashley young,Everton,€1.3M,72.5/72.5
axel tuanzebe,cdCOD,Ipswich Town,DF,27-175,19,1446,0,1,5,1,0.2,0.3,9,46,8,0,0.06,0.01,0.02,0,0,0,15.7,538,83,8269,296,81.8,56.1,4,50,3,0,46,11,0.68,2,0.12,29,17,24,8,18,9,9,21,793,89,343,348,108,6,10,40,60,339,727,9,6,1,11,1,410,8,5,1,13,11,0,6,43,16,16,50,N/a,N/a,N/a,N/a,axel tuanzebe,Ipswich Town,€4.2M,62.4/63.0
bart verbruggen,nlNED,Brighton,GK,22-263,33,2970,0,1,5,0,0,0,0,2,0,0,0.03,0,0,N/a,0,N/a,N/a,938,76.9,22231,267,98.2,45.9,1,18,1,0,2,5,0.15,1,0.03,0,0,3,3,1,0,1,0,1304,1034,1291,13,0,0,2,100,0,879,1673,0,1,1,2,0,836,0,5,0,0,2,0,0,58,10,1,90.9,1.67,64.7,18.2,0,bart verbruggen,Brighton,€30.7M,72.3/84.4
ben davies,wlsWAL,Tottenham,DF,32-014,14,1126,0,0,4,0,0.3,0.2,14,50,6,0,0,0.02,0.02,20,0.08,0,17,797,88,14950,267,94.3,63.1,2,43,2,0,50,8,0.64,0,0,14,10,14,7,24,16,8,12,1045,178,549,451,45,12,1,100,0,588,1701,14,10,0,4,0,699,6,4,0,14,6,0,4,36,47,38,55.3,N/a,N/a,N/a,N/a,ben davies,Tottenham,€5.6M,66.4/66.4
ben johnson,engENG,Ipswich Town,"DF,FW",25-104,22,1348,1,2,5,1,1.1,1.3,16,26,33,0.07,0.13,0.07,0.09,42.9,0.2,0.14,12.6,296,71.5,4812,168,74.8,49,12,21,3,2,26,23,1.54,5,0.33,38,22,41,21,22,5,17,13,624,60,245,219,163,12,24,33.3,58.3,259,585,16,12,3,23,17,290,33,5,1,27,6,1,37,57,19,18,51.4,N/a,N/a,N/a,N/a,ben johnson,Ipswich Town,€12.6M,66.6/70.6
ben white,engENG,Arsenal,DF,27-212,14,941,0,1,2,0,0.4,0.8,11,44,28,0,0.1,0.04,0.08,14.3,0.1,0,19.1,449,83.6,7272,230,84.6,48.9,7,39,8,1,44,16,1.53,1,0.1,13,9,28,17,9,7,2,15,633,46,183,289,165,20,4,0,75,292,622,11,11,3,8,4,375,28,2,0,8,4,1,10,26,15,5,75,N/a,N/a,N/a,N/a,ben white,Arsenal,€58.8M,83.1/84.9
bernardo silva,ptPOR,Manchester City,"MF,FW",30-271,30,2401,3,4,7,0,3.2,4.4,94,115,184,0.11,0.15,0.12,0.16,35.7,0.37,0.11,12.9,1370,87.1,20876,765,88.4,66.7,47,75,33,7,115,83,3.11,8,0.3,52,34,52,28,33,7,26,20,1816,48,318,739,777,131,59,45.8,42.4,1137,3650,94,60,31,21,32,1346,184,7,0,26,29,3,54,93,5,10,33.3,N/a,N/a,N/a,N/a,bernardo silva,Man City,€50M,86.7/87.8
bernd leno,deGER,Fulham,GK,33-065,35,3150,0,1,4,0,0,0.1,0,0,0,0,0.03,0,0,N/a,0,N/a,N/a,1060,81.5,25878,210,98.9,47.5,2,16,2,0,0,5,0.14,2,0.06,2,2,2,0,1,0,1,0,1364,1097,1354,10,0,0,0,N/a,N/a,892,2023,0,0,0,0,0,799,0,4,0,0,3,0,0,48,9,0,100,1.34,68.3,14.3,0,bernd leno,Fulham,€13.7M,74.0/74.0
beto,gwGNB,Everton,FW,27-097,27,1268,7,0,2,0,6.6,0.8,12,10,66,0.5,0,0.47,0.06,50,1.42,0.18,13.2,124,57.1,1676,74,50,87.5,8,5,4,1,10,17,1.21,0,0,14,6,8,3,8,1,7,3,429,22,43,188,204,72,32,53.1,43.8,221,390,12,9,9,59,33,309,66,2,0,30,18,14,3,30,78,92,45.9,N/a,N/a,N/a,N/a,beto,Everton,€24.4M,66.7/66.7
bilal el khannouss,maMAR,Leicester City,MF,20-363,30,2003,2,3,4,0,1.1,4.1,71,119,83,0.09,0.13,0.05,0.18,21.4,0.27,0.07,22.3,735,75.2,13072,346,80.6,57,36,83,28,6,119,66,2.97,5,0.22,46,26,28,13,21,4,17,6,1172,17,166,602,416,33,53,56.6,37.7,679,1949,71,42,12,36,36,788,83,4,0,28,11,1,83,84,19,20,48.7,N/a,N/a,N/a,N/a,bilal el khannouss,Leicester,€40.6M,64.6/79.6
boubacar kamara,frFRA,Aston Villa,MF,25-166,23,1463,0,0,2,0,0.4,0.9,16,74,7,0,0,0.02,0.05,14.3,0.06,0,21.1,738,89.2,11638,381,91.8,54.4,10,82,8,0,74,24,1.48,2,0.12,49,20,54,26,17,7,10,17,991,92,308,572,118,8,24,33.3,33.3,517,1121,16,11,1,10,15,673,7,2,0,25,28,0,1,73,17,23,42.5,N/a,N/a,N/a,N/a,boubacar kamara,Aston Villa,€46.3M,78.9/82.6
boubakary soumaré,frFRA,Leicester City,MF,26-070,28,1960,0,0,8,0,0.3,0.4,31,95,21,0,0,0.01,0.02,0,0,0,23.4,985,86.7,14936,537,87.6,69.1,11,90,13,2,95,34,1.56,3,0.14,33,18,30,12,20,8,12,24,1324,64,352,835,150,17,44,61.4,29.5,788,1881,31,16,3,20,21,929,21,8,0,21,21,0,8,130,20,9,69,N/a,N/a,N/a,N/a,boubakary soumaré,Leicester,€15.4M,69.0/74.1
brennan johnson,wlsWAL,Tottenham,FW,23-350,31,2083,11,3,5,0,9.8,2.3,57,70,194,0.48,0.13,0.43,0.1,37.7,0.86,0.21,11.4,438,71,5790,268,75.7,34.4,19,25,35,6,70,46,1.99,7,0.3,39,26,31,15,25,3,22,4,825,16,89,282,466,120,44,43.2,50,527,1410,57,21,32,25,16,609,194,5,0,26,25,12,52,60,7,20,25.9,N/a,N/a,N/a,N/a,brennan johnson,Tottenham,€71.3M,76.4/84.3
bruno fernandes,ptPOR,Manchester Utd,MF,30-242,33,2758,8,9,4,2,9.5,7.6,65,281,118,0.26,0.29,0.31,0.25,30.1,0.82,0.06,21.9,1522,75.2,26743,732,80.4,52.6,84,176,73,11,281,169,5.51,12,0.39,76,47,75,46,32,4,28,25,2394,59,398,1130,888,71,65,41.5,49.2,1379,3436,65,60,11,38,37,1665,118,4,2,26,37,2,172,192,21,28,42.9,N/a,N/a,N/a,N/a,bruno fernandes,Man Utd,€54.8M,79.8/79.9
bruno guimarães,brBRA,Newcastle Utd,MF,27-173,35,3002,4,6,6,0,3.9,5.8,54,247,81,0.12,0.18,0.12,0.17,25.6,0.3,0.1,16.3,1334,82.1,22040,656,87.5,56.8,47,162,70,6,247,121,3.63,17,0.51,75,43,64,33,34,9,25,27,2013,75,409,1035,592,74,75,45.3,32,1298,3108,54,40,12,53,73,1507,81,6,0,57,100,2,25,167,18,17,51.4,N/a,N/a,N/a,N/a,bruno guimarães,Newcastle Utd.,€83.2M,80.9/82.6
bryan mbeumo,cmCMR,Brentford,FW,25-274,35,3144,18,6,3,0,10.8,8,118,128,319,0.52,0.17,0.31,0.23,42.3,0.86,0.18,17.7,809,66.6,12856,445,72.1,37,66,55,55,16,128,134,3.84,18,0.52,45,29,31,13,24,3,21,14,1633,54,232,517,913,149,99,46.5,41.4,984,3237,118,64,68,99,40,1109,319,3,0,23,43,11,182,143,34,69,33,N/a,N/a,N/a,N/a,bryan mbeumo,Brentford,€57.2M,81.2/85.9
bukayo saka,engENG,Arsenal,"FW,MF",23-245,22,1539,6,10,3,0,6.3,6.8,82,62,233,0.35,0.58,0.37,0.4,34.5,1.17,0.09,15.5,488,75.2,7524,290,73.1,47.7,50,13,32,10,62,102,5.97,22,1.29,24,13,22,11,21,0,21,3,875,6,52,192,639,146,84,44,41.7,558,2133,82,28,45,29,38,635,233,3,0,14,38,5,110,65,8,19,29.6,N/a,N/a,N/a,N/a,bukayo saka,Arsenal,€101.3M,87.2/96.9
caleb okoli,itITA,Leicester City,DF,23-299,18,1124,1,0,4,0,0.6,0,3,32,2,0.08,0,0.05,0,50,0.16,0.25,13.5,558,86.4,9738,242,91,55.4,0,21,1,0,32,4,0.32,0,0,25,14,18,7,24,14,10,15,804,152,450,324,35,10,0,N/a,N/a,467,1106,3,6,0,10,2,483,2,4,0,16,9,0,1,44,23,21,52.3,N/a,N/a,N/a,N/a,caleb okoli,Leicester,€16.7M,64.3/73.0
callum hudson-odoi,engENG,Nott'ham Forest,"FW,MF",24-182,29,2152,5,2,2,0,2.5,2.7,127,66,186,0.21,0.08,0.1,0.11,45.9,0.71,0.14,18.3,674,82.2,9918,396,81.8,51.2,44,36,31,11,66,94,3.93,11,0.46,20,14,17,6,11,0,11,13,1005,15,111,324,595,72,62,58.1,29,626,3335,127,61,45,44,23,764,186,2,0,12,22,8,75,91,3,10,23.1,N/a,N/a,N/a,N/a,callum hudson-odoi,Nottingham,€30.2M,81.4/86.4
calvin bassey,ngNGA,Fulham,DF,25-128,33,2894,1,0,7,0,1,0.1,36,107,15,0.03,0,0.03,0,28.6,0.12,0.07,15.3,1822,89.8,32168,770,94,61.5,3,143,2,0,107,23,0.72,3,0.09,52,33,30,9,37,17,20,18,2317,308,1127,1090,124,19,31,45.2,32.3,1487,4539,36,18,5,32,8,1620,15,7,0,26,31,2,7,156,40,31,56.3,N/a,N/a,N/a,N/a,calvin bassey,Fulham,€29.9M,73.3/79.3
cameron archer,engENG,Southampton,FW,23-291,32,1373,2,0,0,0,5.1,0.4,19,14,64,0.13,0,0.33,0.02,33.3,0.59,0.07,13.1,189,81.1,2474,119,91.4,55.6,3,6,7,0,14,17,1.12,0,0,11,7,9,7,5,1,4,2,362,16,59,161,145,50,32,43.8,53.1,210,499,19,9,14,34,25,256,64,0,0,16,12,7,3,34,8,28,22.2,N/a,N/a,N/a,N/a,cameron archer,Southampton,€18.6M,66.2/73.8
cameron burgess,auAUS,Ipswich Town,DF,29-199,17,1451,0,2,0,0,0.7,0.5,2,41,4,0,0.12,0.04,0.03,11.1,0.06,0,9.7,590,80.9,10830,240,87,50.8,7,45,4,0,41,13,0.81,3,0.19,15,10,9,2,18,13,5,14,919,221,562,312,47,23,0,N/a,N/a,416,990,2,4,0,3,0,539,4,0,0,5,4,1,0,40,43,22,66.2,N/a,N/a,N/a,N/a,cameron burgess,Ipswich Town,€1.7M,61.7/62.8
carlos baleba,cmCMR,Brighton,MF,21-125,31,2403,3,1,8,1,3,1.3,40,111,27,0.11,0.04,0.11,0.05,26.8,0.41,0.07,25.3,1048,87.2,17638,499,91.7,62.3,20,103,22,2,111,60,2.25,4,0.15,71,41,72,28,44,10,34,40,1556,88,375,917,303,12,52,59.6,34.6,886,2588,40,40,3,37,37,944,27,8,1,38,44,0,8,176,38,24,61.3,N/a,N/a,N/a,N/a,carlos baleba,Brighton,€52.4M,73.7/87.5
carlos soler,esESP,West Ham,"MF,FW",28-126,29,1358,1,1,5,0,1.7,1.2,16,52,33,0.07,0.07,0.11,0.08,29.2,0.46,0.04,19.1,536,85.1,8360,288,85.6,53.7,14,41,11,0,52,47,3.12,2,0.13,15,11,23,16,19,6,13,8,748,26,173,391,189,23,18,44.4,50,341,714,16,16,4,12,14,506,33,5,0,24,18,0,31,64,9,11,45,N/a,N/a,N/a,N/a,carlos soler,West Ham United,€23.4M,71.4/71.6
casemiro,brBRA,Manchester Utd,MF,33-074,22,1335,1,0,3,0,1.7,2.3,4,70,26,0.07,0,0.11,0.15,28.6,0.54,0.04,18.8,670,78.5,11089,318,83.7,59.8,20,68,20,6,70,49,3.31,3,0.2,77,46,66,25,33,10,23,12,1091,69,327,555,217,38,6,50,50,575,823,4,10,0,10,10,697,26,3,0,17,18,3,19,89,31,17,64.6,N/a,N/a,N/a,N/a,casemiro,Man Utd,€11.6M,72.4/72.4
chris richards,usUSA,Crystal Palace,DF,25-041,21,1652,1,0,4,1,1.3,0.1,5,35,1,0.05,0,0.07,0.01,45.5,0.27,0.09,11.4,609,80.2,10779,250,89.6,44.9,2,22,1,1,35,7,0.38,2,0.11,44,28,38,15,36,13,23,15,985,113,527,397,67,18,6,16.7,83.3,453,916,5,5,0,5,5,547,1,4,1,11,4,1,3,49,38,38,50,N/a,N/a,N/a,N/a,chris richards,C. Palace,€15.7M,71.1/75.3
chris wood,nzNZL,Nott'ham Forest,FW,33-152,33,2689,19,3,1,0,11.7,2.5,13,36,87,0.64,0.1,0.39,0.08,54.5,1,0.29,14.1,290,65.9,4048,176,67.2,72.7,19,16,9,1,36,40,1.34,5,0.17,5,4,9,7,11,7,4,5,698,36,84,334,282,89,12,33.3,58.3,339,444,13,10,5,73,24,512,87,1,0,24,21,26,1,44,88,129,40.6,N/a,N/a,N/a,N/a,chris wood,Nottingham,€7.8M,73.1/73.1
christian eriksen,dkDEN,Manchester Utd,MF,33-083,21,1028,0,2,4,0,0.4,2.9,12,53,29,0,0.18,0.03,0.25,9.1,0.09,0,24.9,569,79.1,9538,305,80.7,47.6,27,53,11,4,53,51,4.46,7,0.61,19,9,26,15,14,4,10,7,811,24,163,388,264,15,3,0,100,450,761,12,13,1,11,5,541,29,4,0,8,3,0,78,59,2,6,25,N/a,N/a,N/a,N/a,christian eriksen,Man Utd,€4.2M,66.9/66.9
christian nørgaard,dkDEN,Brentford,MF,31-059,31,2549,5,3,6,1,3.9,1,12,133,37,0.18,0.11,0.14,0.04,34.3,0.42,0.14,14.3,1049,81.3,17392,523,85.1,58.6,17,128,24,4,133,49,1.73,10,0.35,75,45,71,27,51,19,32,45,1638,161,561,780,312,52,13,46.2,38.5,738,1204,12,12,4,31,18,974,37,6,1,41,28,1,15,179,44,29,60.3,N/a,N/a,N/a,N/a,christian nørgaard,Brentford,€14.4M,73.7/73.7
christopher nkunku,frFRA,Chelsea,FW,27-175,27,921,3,2,2,0,4.8,2.1,17,25,68,0.29,0.2,0.47,0.21,44,1.07,0.12,12.6,299,89.5,3928,185,92.2,100,14,26,7,0,25,34,3.32,4,0.39,12,8,8,2,9,2,7,7,448,10,52,183,217,52,27,37,51.9,280,628,17,16,13,18,17,356,68,2,0,16,11,3,4,29,16,22,42.1,N/a,N/a,N/a,N/a,christopher nkunku,Chelsea,€51.7M,79.1/81.0
