Player,stats_standard_Nation,stats_standard_Squad,stats_standard_Position,stats_standard_Current age,stats_standard_Matches Played,stats_standard_Minutes,stats_standard_Goals,stats_standard_Assists,stats_standard_Yellow Cards,stats_standard_Red Cards,stats_standard_xG: Expected Goals,stats_standard_xAG: Exp. Assisted Goals,stats_standard_Progressive Carries,stats_standard_Progressive Passes,stats_standard_Progressive Passes Rec,stats_standard_Goals/90,stats_standard_Assists/90,stats_standard_xG/90,stats_standard_xAG/90,stats_shooting_Shots on Target %,stats_shooting_Shots on target/90,stats_shooting_Goals/Shot,stats_shooting_Average Shot Distance,stats_passing_Passes Completed,stats_passing_Pass Completion %,stats_passing_Total Passing Distance,stats_passing_Passes Completed (Short),stats_passing_Pass Completion % (Medium),stats_passing_Pass Completion % (Long),stats_passing_Key Passes,stats_passing_Passes into Final Third,stats_passing_Passes into Penalty Area,stats_passing_Crosses into Penalty Area,stats_passing_Progressive Passes,stats_gca_Shot-Creating Actions,stats_gca_Shot-Creating Actions/90,stats_gca_Goal-Creating Actions,stats_gca_Goal-Creating Actions/90,stats_defense_Tackles,stats_defense_Tackles Won,stats_defense_Dribbles Challenged,stats_defense_Challenges Lost,stats_defense_Blocks,stats_defense_Shots Blocked,stats_defense_Passes Blocked,stats_defense_Interceptions,stats_possession_Touches,stats_possession_Touches (Def Pen),stats_possession_Touches (Def 3rd),stats_possession_Touches (Mid 3rd),stats_possession_Touches (Att 3rd),stats_possession_Touches (Att Pen),stats_possession_Take-Ons Attempted,stats_possession_Successful Take-On %,stats_possession_Tackled During Take-On Percentage,stats_possession_Carries,stats_possession_Progressive Carrying Distance,stats_possession_Progressive Carries,stats_possession_Carries into Final Third,stats_possession_Carries into Penalty Area,stats_possession_Miscontrols,stats_possession_Dispossessed,stats_possession_Passes Received,stats_possession_Progressive Passes Rec,stats_misc_Yellow Cards,stats_misc_Red Cards,stats_misc_Fouls Committed,stats_misc_Fouls Drawn,stats_misc_Offsides,stats_misc_Crosses,stats_misc_Ball Recoveries,stats_misc_Aerials Won,stats_misc_Aerials Lost,stats_misc_% of Aerials Won,stats_keeper_Goals Against/90,stats_keeper_Save Percentage,stats_keeper_Clean Sheet Percentage,stats_keeper_Save% (Penalty Kicks),player_name,team,price,skill/pot
tomáš souček,czCZE,West Ham,MF,30-070,32,2330,8,1,8,0,6,1,6,70,65,0.31,0.04,0.23,0.04,26.9,0.54,0.15,12,656,73.7,10935,329,76.3,68.9,14,59,8,1,70,43,1.66,3,0.12,42,19,39,17,35,17,18,18,1168,110,315,577,280,97,11,54.5,45.5,449,470,6,10,3,17,13,696,65,8,0,44,24,4,13,57,95,68,58.3,N/a,N/a,N/a,N/a,tomáš souček,West Ham United,€23.2M,75.6/75.6
tosin adarabioyo,engENG,Chelsea,DF,27-226,20,1229,1,1,3,0,0.9,0.2,5,37,1,0.07,0.07,0.07,0.02,16.7,0.15,0.08,12.5,988,91.4,18105,374,94.9,61.1,1,53,1,0,37,12,0.88,1,0.07,14,10,12,4,9,7,2,10,1198,160,570,603,26,13,5,80,0,713,1690,5,2,0,3,0,916,1,3,0,8,6,1,0,34,36,26,58.1,N/a,N/a,N/a,N/a,tosin adarabioyo,Chelsea,€24.3M,74.1/74.1
toti gomes,ptPOR,Wolves,DF,26-112,28,2344,0,1,6,0,0.7,0.9,21,67,15,0,0.04,0.03,0.04,28.6,0.08,0,11.6,1272,85.1,21197,577,92.4,49.3,9,72,5,3,67,20,0.77,1,0.04,53,38,37,7,28,17,11,23,1772,207,847,851,95,15,28,67.9,25,1028,2641,21,18,0,16,13,1202,15,6,0,23,14,4,13,100,48,24,66.7,N/a,N/a,N/a,N/a,toti gomes,Wolverhampton,€18.6M,70.6/72.1
trent alexander-arnold,engENG,Liverpool,DF,26-213,31,2296,3,6,5,0,1.8,6.7,50,221,90,0.12,0.24,0.07,0.26,18.6,0.31,0.07,23.3,1397,73.6,26692,612,76.2,48.6,50,198,63,20,221,94,3.68,10,0.39,70,49,103,55,26,9,17,30,2173,86,578,976,633,44,35,45.7,48.6,1139,2780,50,35,9,19,15,1384,90,5,0,11,8,1,145,129,3,13,18.8,N/a,N/a,N/a,N/a,trent alexander-arnold,Liverpool,€55.8M,85.3/87.4
trevoh chalobah,engENG,Crystal Palace,DF,25-307,12,1060,3,0,1,0,1.2,0.4,11,34,6,0.25,0,0.1,0.03,36.4,0.34,0.27,15.1,349,79,6831,125,85.2,51.2,4,27,2,1,34,11,0.93,0,0,20,16,23,11,19,9,10,19,594,66,275,276,51,14,10,60,20,278,661,11,9,1,4,7,317,6,1,0,10,15,1,7,56,22,19,53.7,N/a,N/a,N/a,N/a,trevoh chalobah,Chelsea,€20.1M,75.2/78.8
tyler adams,usUSA,Bournemouth,MF,26-083,25,1710,0,3,7,0,1.6,1,12,65,9,0,0.16,0.08,0.05,25,0.11,0,16.1,757,83.6,11872,368,88,54.7,16,57,2,1,65,37,1.95,4,0.21,75,46,66,31,33,10,23,32,1151,53,308,661,194,17,16,18.8,56.3,554,1183,12,17,1,27,12,630,9,7,0,41,19,0,3,100,29,17,63,N/a,N/a,N/a,N/a,tyler adams,B'mouth,€24.4M,72.9/75.9
tyler dibling,engENG,Southampton,"FW,MF",19-057,31,1742,2,0,6,0,2.5,1.5,68,61,93,0.1,0,0.13,0.08,32.1,0.46,0.07,19.3,472,80.7,7050,267,85.1,43.5,20,25,20,1,61,56,2.89,4,0.21,34,20,26,10,19,5,14,8,823,25,110,372,360,41,104,42.3,36.5,533,2129,68,49,26,41,53,617,93,6,0,28,49,2,28,75,10,21,32.3,N/a,N/a,N/a,N/a,tyler dibling,Southampton,€32.7M,53.3/81.5
tyrick mitchell,engENG,Crystal Palace,DF,25-249,35,2942,0,4,2,0,1.2,5.7,56,64,166,0,0.12,0.04,0.18,18.2,0.06,0,13.4,929,72.3,14968,484,75.1,42.2,38,46,32,15,64,69,2.11,6,0.18,87,54,42,20,62,12,50,14,1656,108,573,637,459,42,33,39.4,48.5,766,1590,56,33,9,36,28,850,166,2,0,20,24,2,100,156,18,21,46.2,N/a,N/a,N/a,N/a,tyrick mitchell,C. Palace,€24.6M,80.7/83.8
tyrone mings,engENG,Aston Villa,DF,32-056,13,1051,0,0,1,0,0.8,0.2,6,39,0,0,0,0.07,0.02,11.1,0.09,0,11.8,581,88.6,10405,227,94.3,54,3,47,5,0,39,17,1.45,2,0.17,6,5,2,0,13,11,2,7,767,139,388,340,43,15,2,100,0,472,1333,6,12,0,3,1,523,0,1,0,3,9,0,1,33,26,21,55.3,N/a,N/a,N/a,N/a,tyrone mings,Aston Villa,€5.8M,69.5/69.5
valentino livramento,engENG,Newcastle Utd,DF,22-177,34,2570,0,1,1,0,0.2,2.3,73,144,98,0,0.04,0.01,0.08,20,0.04,0,20.6,1278,85,18914,740,86.3,57,21,98,24,5,144,39,1.37,2,0.07,52,34,56,26,34,10,24,21,1796,108,572,822,427,33,48,43.8,41.7,935,2984,73,39,11,26,34,1041,98,1,0,6,34,2,45,173,23,31,42.6,N/a,N/a,N/a,N/a,valentino livramento,Newcastle Utd.,€49.3M,73.6/84.3
